,Date,Average Price,Weighted Price,Average Return,Weighted Return,Average Return Growth,Weighted Return Growth
2268,2023-08-27,13823.960358499398,19157.921580264338,-24.77240597382297,-18.436275444462808,-0.1788785038684026,-0.09614065185467077
2269,2023-08-28,13869.824118347906,19200.639633665538,45.86375984850747,42.71805340120045,0.33177004750530126,0.22297853774078885
2270,2023-08-29,13881.234195045077,19237.89470908046,11.410076697171462,37.25507541492334,0.08226547503279058,0.19403038714190524
2271,2023-08-30,14730.346996690892,20498.150828299138,849.1128016458151,1260.2561192186768,6.116983473623023,6.550904546867201
2272,2023-08-31,14501.184770853108,20174.366241666325,-229.16222583778472,-323.78458663281344,-1.5557150547048553,-1.5795794915598242
2273,2023-09-01,13786.299265597989,19097.112868602762,-714.8855052551189,-1077.2533730635623,-4.929842054643801,-5.339713575927356
2274,2023-09-02,13721.468192462675,19028.621241589135,-64.831073135314,-68.4916270136273,-0.4702572596628013,-0.35864911876932565
2275,2023-09-03,13744.909520866955,19051.234600926575,23.441328404280284,22.61335933743976,0.17083688185173082,0.11883866440105387
2276,2023-09-04,13797.499677288457,19148.226178079236,52.59015642150189,96.9915771526612,0.38261551552348655,0.5091091427111182
2277,2023-09-05,13729.99615980459,19045.14449525731,-67.50351748386674,-103.08168282192491,-0.4892445664991153,-0.5383354147964481
2278,2023-09-06,13708.745261843826,18997.230101392368,-21.250897960764632,-47.91439386494312,-0.15477715880924967,-0.251583251977295
2279,2023-09-07,13692.93041746788,18969.085880654322,-15.81484437594554,-28.144220738045988,-0.11536317929813544,-0.148149075353797
2280,2023-09-08,13919.319257909181,19330.82176126429,226.388840441301,361.7358806099692,1.6533264505054368,1.9069758178431073
2281,2023-09-09,13771.791197921459,19098.273936251546,-147.52805998772237,-232.5478250127453,-1.0598798493963313,-1.2029898567412791
2282,2023-09-10,13761.885477878302,19088.51233713627,-9.90572004315618,-9.761599115274294,-0.07192760840471663,-0.05111246779608305
2283,2023-09-11,13726.033139073828,19084.72433909653,-35.85233880447413,-3.787998039741069,-0.2605190899321563,-0.019844385842324674
2284,2023-09-12,13341.59826486291,18632.424185649426,-384.43487421091777,-452.3001534471041,-2.8007718640613577,-2.3699590594585236
2285,2023-09-13,13730.890582275804,19179.014211049278,389.2923174128937,546.5900253998516,2.917883672439404,2.933542194798419
2286,2023-09-14,13915.586386350311,19468.04879646509,184.69580407450667,289.0345854158113,1.3451116150682672,1.5070356705262502
2287,2023-09-15,14078.915953475103,19697.05180315424,163.32956712479245,229.00300668915224,1.17371674171777,1.1763017911211187
2288,2023-09-16,14138.282891642404,19748.788888168743,59.36693816730076,51.737085014501645,0.4216726512430611,0.2626641059359786
2289,2023-09-17,14096.094288496866,19697.89647202432,-42.188603145537854,-50.892416144422896,-0.2983997665690853,-0.2576989223623324
